input_text,target_text
get fuck,I am offended by the nature of your post
fuck question allowed stay open mine get closed,I am offended because my question got closed
noted quite couldnt answer previous question went old post voted think miserable scam going publish answer dont care say,It seems like you posted an old question Plesae check 
daniel locked place trying discus piss mate,I am offended since there is no discussion
enlightened badge whoring,I am offended because of the comment
wtf u guy votin wn,Please don t vote down 
yeah realz overload bitch throw everytime yo,Yes I realized the overload Thank you 
guffa wtf problem ar cry two downvotes cant help crappy answer,It seems like you downvoted my comment 
either bothered scared hmmm worked obnoxious nut case age going used listen ramstein etc loud office without word asking deluded hole actually told u problem concentrate others music sincerely hope world better without head like,I would recommend you to keep silence 
fuck net dare even suggest using garbage,It seems like your suggestins are not that useful 
trying moronic ignorant violation hope credit card authority get notified,Notified the answers are not useful 
lucas jones racism,I suspect that you are misunderstood 
tab generally preferred bull tab save time bull tab make sure indentation consistent drunk worst answer seen,It seems like your answer is not that useful 
smell linux troll lurking,will you please stop trolling
answer fool check profile,It would be good to check the profile before commenting 
boy farm hard rude man stop giving stuff like,will you please stop commenting
asshole scott asked vb net code replace var dim automatic slip write say post syntax c mean j hope see downvote damn soon,Its seems like the post written are of not up to the mark 
holy shit intense sinan plain incredible,Holy sugar It looks like not that useful 
previous comment someone care enough question ask clarification tell idiot maybe stackoverflow,Will you please refer the previous comment before clarifying
mathias get life,All right go on 
sorry itsmatt mathias loser confused read bloody question nobody care confusion,I am really confused to see our comment 
stupid comment adam batkin clearly put question think change question idiot youve got nothing useful say dont comment,It seems like your comment is not up to the mark So will you please be able to have a look
perl dead trollin,will you please stop trolling
answer like silly answer entirely unhelpful,It seems like your answers are not that helpful 
fuck talking talking runtime instance class use property hell use public variable care,It would be good to use public variables in class 
fucking baby,I am offended because of the childish answer
dumb edited question replaced bf brainf ck python haha get downvoted closed like hell,I think your question needs editing Otherwise it will be downvoted 
r feed horrible gave skin rash,Your answers are not that good 
jerk close page,Will you please be able to close the page
many idiot creating fake account asking funny april fool question mod please ban real account bloody annoying,It seems like a fake account and the questions is also not good standard
idiot include url local otherwise,Will you please be able to include the url
enough april fool joke please,Will you plese be able to stop joking
omg wtf lol bbq,omg I am offended 
tired duplicate question faggot answer question already answered gtfo,It seems like a duplicate question And it has already answered 
mad skillz u ppl spell,It is a rare skill lol 
please post april fool unless actually sense humour,Will you please stop posting comments 
mean crap,I am offended sinc the post seems to be of low quality
